No,Kabupaten/Kota,PDRB ADHK,Rank
33.0,Kota Semarang,182122.11,1
1.0,Kabupaten Cilacap,108031.28,2
19.0,Kabupaten Kudus,75783.15,3
2.0,Kabupaten Banyumas,50668.64,4
31.0,Kota Surakarta,45304.55,5
22.0,Kabupaten Semarang,43880.58,6
29.0,Kabupaten Brebes,40655.22,7
24.0,Kabupaten Kendal,40192.08,8
18.0,Kabupaten Pati,39038.28,9
10.0,Kabupaten Klaten,35131.44,10
11.0,Kabupaten Sukoharjo,33951.06,11
14.0,Kabupaten Sragen,33921.43,12
13.0,Kabupaten Karanganyar,33709.11,13
28.0,Kabupaten Tegal,31211.27,14
8.0,Kabupaten Magelang,29160.54,15
9.0,Kabupaten Boyolali,28890.03,16
20.0,Kabupaten Jepara,26869.08,17
12.0,Kabupaten Wonogiri,26141.91,18
5.0,Kabupaten Kebumen,25253.4,19
15.0,Kabupaten Grobogan,24896.25,20
21.0,Kabupaten Demak,23439.71,21
27.0,Kabupaten Pemalang,23052.08,22
3.0,Kabupaten Purbalingga,21626.94,23
16.0,Kabupaten Blora,20834.42,24
26.0,Kabupaten Pekalongan,20425.92,25
25.0,Kabupaten Batang,20159.94,26
4.0,Kabupaten Banjarnegara,19008.78,27
23.0,Kabupaten Temanggung,18863.34,28
17.0,Kabupaten Rembang,17185.84,29
7.0,Kabupaten Wonosobo,16924.73,30
6.0,Kabupaten Purworejo,16583.69,31
35.0,Kota Tegal,13897.41,32
32.0,Kota Salatiga,12198.74,33
34.0,Kota Pekalongan,9455.38,34
30.0,Kota Magelang,8125.78,35
