PDRB Kota Semarang Atas Dasar Harga Konstan Menurut Lapangan Usaha (Milyar Rupiah) Tahun 2020-2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Sektor PDRB Lapangan Usaha Tahun Dasar 2010,2020.0,2021.0,2022.0,2023.0,2024.0
"A. Pertanian, Kehutanan, dan Perikanan",1106.08,1141.64,1169.22,1184.14,1188.58
B. Pertambangan dan Penggalian,173.67,179.61,170.72,174.76,181.7
C. Industri Pengolahan,36020.69,37990.51,40127.17,41796.24,42812.37
D. Pengadaan Listrik dan Gas,171.5,173.22,172.63,184.76,196.01
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",123.68,131.24,132.79,136.25,138.59
F. Konstruksi,34031.87,36235.04,36666.19,38714.97,41759.68
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,19756.74,21039.6,21865.39,22939.43,23886.14
H. Transportasi dan Pergudangan,3184.25,3424.05,6128.51,6775.97,7212.63
I. Penyediaan Akomodasi dan Makan Minum,3770.08,4039.33,4859.46,5482.66,5867.4
J. Informasi dan Komunikasi,18654.55,19479.19,20217.45,21909.64,23814.61
K. Jasa Keuangan dan Asuransi,5457.98,5560.38,5581.21,5681.71,5762.17
L. Real Estate,4334.92,4497.48,4728.54,5053.43,5351.24
"M, N. Jasa Perusahaan",873.42,900.15,957.0,1026.95,1133.59
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",3996.12,3937.3,4010.14,4177.13,4504.35
P. Jasa Pendidikan,3283.67,3287.61,3351.58,3564.4,3895.27
Q. Jasa Kesehatan dan Kegiatan Sosial,1197.89,1212.98,1246.53,1314.03,1410.47
"R,S,T,U. Jasa Lainnya",1464.88,1475.25,1610.9,1731.83,1832.9
PDRB,137601.98,144704.57,152995.41,161848.3,170947.72
