Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Lapangan Usaha di Kota Semarang (persen) Tahun 2020-2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Lapangan Usaha,2020.0,2021.0,2022.0,2023.0,2024.0
"A. Pertanian, Kehutanan, dan Perikanan",1.51,3.22,2.42,1.28,0.38
B. Pertambangan dan Penggalian,2.49,3.42,-4.95,2.37,3.97
C. Industri Pengolahan,0.2,5.47,5.62,4.16,2.43
D. Pengadaan Listrik dan Gas,0.19,1.0,-0.34,7.03,6.09
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2.48,6.12,1.17,2.61,1.72
F. Konstruksi,-5.23,6.47,1.19,5.59,7.86
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,-3.72,6.49,3.92,4.91,4.13
H. Transportasi dan Pergudangan,-40.16,7.53,78.98,10.56,6.44
I. Penyediaan Akomodasi dan Makan Minum,-17.1,7.14,20.3,12.82,7.02
J. Informasi dan Komunikasi,20.31,4.42,3.79,8.37,8.69
K. Jasa Keuangan dan Asuransi,1.75,1.88,0.37,1.8,1.42
L. Real Estate,-0.08,3.75,5.14,6.87,5.89
"M, N. Jasa Perusahaan",-7.94,3.06,6.32,7.31,10.38
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",-2.24,-1.47,1.85,4.16,7.83
P. Jasa Pendidikan,-2.51,0.12,1.95,6.35,9.28
Q. Jasa Kesehatan dan Kegiatan Sosial,12.09,1.26,2.77,5.41,7.34
"R,S,T,U. Jasa Lainnya",-14.8,0.71,9.2,7.51,5.84
PDRB,-1.85,5.16,5.73,5.79,5.62
